coin,group,long_ret,long_mdd,short_ret,short_mdd,combined_ret,combined_mdd,n_trades,days
BSB,gainer,27.142720034256882,-18.74395352888345,-10.930254980392606,-20.76293837931509,8.106232526932121,-17.387969165842758,186,21.975694444444443
EDGE,gainer,11.328332283533937,-18.79155608755276,-12.410786254029038,-25.71299319686462,-0.541226985247556,-13.197886452127694,135,22.975694444444443
TRIA,gainer,10.103768080296271,-25.45885503619288,49.618395945247705,-26.571282686036056,29.861082012771977,-17.996328443707295,473,77.97569444444444
KITE,gainer,3.4343287029175995,-11.036935544209422,0.0,0.0,1.7171643514588109,-5.862632127235674,38,14.975694444444445
BASED,gainer,29.43467157444235,-27.606397236119328,6.172277344384947,-11.147428058157379,17.80347445941366,-14.981706560738758,189,24.975694444444443
OPN,loser,-17.233638672724705,-38.87866412707193,31.98763555606714,-13.960387248030523,7.376998441671212,-13.08895577893118,236,59.97569444444444
SPACE,loser,-17.64710394777601,-39.538838884559155,77.20889004311884,-42.974442889391575,29.780893047671398,-27.217353948725243,376,90.97569444444444
BREV,loser,-21.58164957894011,-43.16921136652695,-13.917100038209163,-30.087536842749834,-17.749374808574636,-28.64309557510889,274,114.97569444444444
FOGO,loser,-8.40770082303891,-28.45758998645615,-0.5108289145449585,-33.30495934333811,-4.4592648687919345,-19.50226337424043,285,102.97569444444444
ZAMA,loser,12.855152025659322,-17.055336170276618,74.9531308314229,-18.02476454824358,43.90414142854111,-11.487804504039119,377,103.975
