coin,trend%,asym,hurst,v_trend,v_asym,v2,trend,T+A,T+A+H
BSB,203.9,0.96,0.471,long,neutral,long,long,skip,skip
EDGE,89.1,0.964,0.464,long,neutral,long,long,skip,skip
TRIA,67.5,0.918,0.472,long,long,short,long,long,long
BASED,31.0,0.965,0.485,long,neutral,long,long,skip,skip
KITE,16.5,0.937,0.424,long,long,long,long,long,long
OFC,10.8,1.029,0.381,long,neutral,long,long,skip,skip
AZTEC,6.3,0.993,0.472,long,neutral,long,long,skip,skip
ESP,2.4,1.015,0.527,long,neutral,short,long,skip,skip
UP,-10.8,0.938,0.476,short,long,long,short,skip,skip
KAT,-28.9,0.955,0.457,short,neutral,short,short,skip,skip
ROBO,-43.1,1.032,0.475,short,neutral,long,short,skip,skip
RIVER,-53.5,0.962,0.492,short,neutral,long,short,skip,skip
ZKP,-55.1,0.995,0.508,short,neutral,short,short,skip,skip
ACU,-55.6,0.976,0.488,short,neutral,short,short,skip,skip
OPN,-60.7,1.002,0.48,short,neutral,short,short,skip,skip
SPACE,-61.5,0.975,0.497,short,neutral,short,short,skip,skip
BREV,-68.7,0.966,0.492,short,neutral,short,short,skip,skip
FOGO,-70.6,0.977,0.472,short,neutral,short,short,skip,skip
ZAMA,-73.6,1.008,0.448,short,neutral,short,short,skip,skip
