coin,ver,dir,ret,mdd,calmar,n_trades,days
SPACE,v2,short,85.39491639754897,-41.02995918164825,2.0812820217414236,279,91.10972222222222
ACU,v2,short,77.01874324289992,-20.155431673459727,3.8212400751662723,278,91.10069444444444
ZAMA,v2,short,74.95313083142288,-18.02476454824358,4.158341743150629,247,104.10833333333333
RIVER,v2,long,70.32823580055658,-24.084126877059028,2.92010734537139,304,105.10277777777777
TRIA,v2,short,48.998690998808364,-26.679004751413338,1.8366011571781975,275,78.10694444444445
ROBO,v2,long,41.765187813193755,-20.268932513892313,2.060551920263582,102,55.110416666666666
ZKP,v2,short,38.16165351525157,-24.436769364048057,1.5616488802892203,159,107.1048611111111
OPN,v2,short,34.31942873343549,-13.711635329413982,2.5029420567956615,129,60.10625
BASED,v2,long,26.61676325011938,-27.606397236119328,0.9641520051480987,159,25.10763888888889
BSB,v2,long,25.197053053478548,-18.74395352888345,1.3442763296788596,162,22.10763888888889
KAT,v2,short,25.066698274806047,-9.725487378384987,2.5774233516067366,95,53.110416666666666
UP,v2,long,20.212649547053456,-15.75797493710497,1.2826933427504799,46,16.101388888888888
EDGE,v2,long,11.491298644251243,-18.79155608755276,0.6115139475789823,104,23.100694444444443
OFC,v2,long,7.938432148107358,-20.993454384391423,0.37813844271429486,90,15.10625
KITE,v2,long,5.50523807427403,-10.951684022972737,0.5026841591417356,39,15.102777777777778
AZTEC,v2,long,4.7404800103961175,-12.63460885918988,0.37519800282128185,65,72.10347222222222
FOGO,v2,short,-0.5108289145449589,-33.30495934333811,-0.015337923378883766,207,103.10555555555555
BREV,v2,short,-12.28196281586968,-29.693216516553395,-0.41362857435881767,158,115.10138888888889
ESP,v2,short,-30.30259874588187,-65.26239629473174,-0.46431943149975974,175,72.10625
